schema,table_name,indexdef,dup_count
auth,saml_relay_states,CREATE UNIQUE INDEX saml_relay_states_pkey ON auth.saml_relay_states USING btree (id),1
auth,saml_relay_states,CREATE INDEX saml_relay_states_sso_provider_id_idx ON auth.saml_relay_states USING btree (sso_provider_id),1
auth,saml_relay_states,CREATE INDEX saml_relay_states_for_email_idx ON auth.saml_relay_states USING btree (for_email),1
auth,saml_relay_states,CREATE INDEX saml_relay_states_created_at_idx ON auth.saml_relay_states USING btree (created_at DESC),1
auth,schema_migrations,CREATE UNIQUE INDEX schema_migrations_pkey ON supabase_migrations.schema_migrations USING btree (version),1
auth,schema_migrations,CREATE UNIQUE INDEX schema_migrations_pkey ON realtime.schema_migrations USING btree (version),1
auth,schema_migrations,CREATE UNIQUE INDEX schema_migrations_pkey ON auth.schema_migrations USING btree (version),1
auth,schema_migrations,CREATE UNIQUE INDEX schema_migrations_idempotency_key_key ON supabase_migrations.schema_migrations USING btree (idempotency_key),1
auth,sessions,"CREATE INDEX user_id_created_at_idx ON auth.sessions USING btree (user_id, created_at)",1
auth,sessions,CREATE UNIQUE INDEX sessions_pkey ON auth.sessions USING btree (id),1
auth,sessions,CREATE INDEX sessions_user_id_idx ON auth.sessions USING btree (user_id),1
auth,sessions,CREATE INDEX sessions_oauth_client_id_idx ON auth.sessions USING btree (oauth_client_id),1
auth,sessions,CREATE INDEX sessions_not_after_idx ON auth.sessions USING btree (not_after DESC),1
auth,sso_domains,CREATE UNIQUE INDEX sso_domains_pkey ON auth.sso_domains USING btree (id),1
auth,sso_domains,CREATE UNIQUE INDEX sso_domains_domain_idx ON auth.sso_domains USING btree (lower(domain)),1
auth,sso_domains,CREATE INDEX sso_domains_sso_provider_id_idx ON auth.sso_domains USING btree (sso_provider_id),1
auth,sso_providers,CREATE UNIQUE INDEX sso_providers_resource_id_idx ON auth.sso_providers USING btree (lower(resource_id)),1
auth,sso_providers,CREATE UNIQUE INDEX sso_providers_pkey ON auth.sso_providers USING btree (id),1
auth,sso_providers,CREATE INDEX sso_providers_resource_id_pattern_idx ON auth.sso_providers USING btree (resource_id text_pattern_ops),1
auth,users,"CREATE INDEX users_instance_id_email_idx ON auth.users USING btree (instance_id, lower((email)::text))",1
auth,users,CREATE UNIQUE INDEX reauthentication_token_idx ON auth.users USING btree (reauthentication_token) WHERE ((reauthentication_token)::text !~ '^[0-9 ]*$'::text),1
auth,users,CREATE UNIQUE INDEX email_change_token_new_idx ON auth.users USING btree (email_change_token_new) WHERE ((email_change_token_new)::text !~ '^[0-9 ]*$'::text),1
auth,users,CREATE INDEX users_is_anonymous_idx ON auth.users USING btree (is_anonymous),1
auth,users,CREATE UNIQUE INDEX users_pkey ON auth.users USING btree (id),1
auth,users,CREATE UNIQUE INDEX users_phone_key ON auth.users USING btree (phone),1
auth,users,CREATE UNIQUE INDEX email_change_token_current_idx ON auth.users USING btree (email_change_token_current) WHERE ((email_change_token_current)::text !~ '^[0-9 ]*$'::text),1
auth,users,CREATE UNIQUE INDEX users_email_partial_key ON auth.users USING btree (email) WHERE (is_sso_user = false),1
auth,users,CREATE INDEX users_instance_id_idx ON auth.users USING btree (instance_id),1
auth,users,CREATE UNIQUE INDEX recovery_token_idx ON auth.users USING btree (recovery_token) WHERE ((recovery_token)::text !~ '^[0-9 ]*$'::text),1
auth,users,CREATE UNIQUE INDEX confirmation_token_idx ON auth.users USING btree (confirmation_token) WHERE ((confirmation_token)::text !~ '^[0-9 ]*$'::text),1
gis,spatial_ref_sys,CREATE UNIQUE INDEX spatial_ref_sys_pkey ON gis.spatial_ref_sys USING btree (srid),1
public,accountant_forms,CREATE INDEX idx_forms_accountant ON public.accountant_forms USING btree (accountant_id),1
public,accountant_forms,CREATE INDEX idx_forms_active ON public.accountant_forms USING btree (is_active),1
public,accountant_forms,CREATE INDEX idx_forms_type ON public.accountant_forms USING btree (form_type),1
public,accountant_forms,CREATE UNIQUE INDEX accountant_forms_pkey ON public.accountant_forms USING btree (id),1
public,accountant_reviews,CREATE INDEX idx_accountant_reviews_rating ON public.accountant_reviews USING btree (rating),1
public,accountant_reviews,"CREATE UNIQUE INDEX unique_review ON public.accountant_reviews USING btree (accountant_id, reviewer_id)",1
public,accountant_reviews,CREATE INDEX idx_accountant_reviews_reviewer ON public.accountant_reviews USING btree (reviewer_id),1
public,accountant_reviews,CREATE INDEX idx_accountant_reviews_accountant ON public.accountant_reviews USING btree (accountant_id),1
public,accountant_reviews,CREATE INDEX idx_accountant_reviews_status ON public.accountant_reviews USING btree (status),1
public,accountant_reviews,CREATE UNIQUE INDEX accountant_reviews_pkey ON public.accountant_reviews USING btree (id),1
public,accountant_services,CREATE UNIQUE INDEX accountant_services_pkey ON public.accountant_services USING btree (id),1
public,accountant_services,CREATE INDEX idx_services_accountant ON public.accountant_services USING btree (accountant_id),1
public,accountant_services,CREATE INDEX idx_services_active ON public.accountant_services USING btree (is_active),1
public,accountant_services,CREATE INDEX idx_services_type ON public.accountant_services USING btree (service_type),1
public,accountant_team_members,CREATE UNIQUE INDEX accountant_team_members_pkey ON public.accountant_team_members USING btree (id),1
public,accountant_team_members,"CREATE UNIQUE INDEX unique_member_email_per_accountant ON public.accountant_team_members USING btree (accountant_id, member_email)",1
public,accountant_team_members,CREATE INDEX idx_team_members_accountant_id ON public.accountant_team_members USING btree (accountant_id),1
public,accountant_team_members,"CREATE INDEX idx_team_members_active ON public.accountant_team_members USING btree (accountant_id, is_active)",1
public,accountant_team_members,CREATE INDEX idx_team_members_email ON public.accountant_team_members USING btree (member_email),1
public,accountants,CREATE UNIQUE INDEX accountants_profile_id_key ON public.accountants USING btree (profile_id),1
public,accountants,CREATE INDEX idx_accountants_city ON public.accountants USING btree (city),1
public,accountants,CREATE INDEX idx_accountants_active ON public.accountants USING btree (is_active),1
public,accountants,CREATE UNIQUE INDEX accountants_email_key ON public.accountants USING btree (email),1
